Feature,Coefficient,abs_coefficient
seedDiff,0.8658253190761669,0.8658253190761669
overallWinPercentage_ATS_x_y,0.6268466187630006,0.6268466187630006
afterWin_winLoss_ATS_x_y,-0.5516764870015275,0.5516764870015275
underdogPerc_interaction_percent_x,0.4638406626830438,0.4638406626830438
neutralSite_winLoss_Win_percent_x_y,-0.3559456716841481,0.3559456716841481
neutralSite_winLoss_MOV_x_x,0.32408487677879444,0.32408487677879444
overallWinPercentage_MOV_x_x,-0.27268129141465347,0.27268129141465347
afterWin_winLoss_Win_percent_x_y,-0.255051940463923,0.255051940463923
away_winLoss_ATS_x_y,0.1957015878728695,0.1957015878728695
overallWinPercentage_MOV_x_y,0.15084572844444663,0.15084572844444663
underdogPerc_interaction_ATS_y,0.12364144847898949,0.12364144847898949
afterWin_winLoss_ATS_x_x,0.08495155497314066,0.08495155497314066
neutralSite_winLoss_ATS_x_x,0.06930829797116671,0.06930829797116671
away_winLoss_ATS_x_x,0.03275698950470811,0.03275698950470811
away_winLoss_Win_percent_x_y,0.01462137557130673,0.01462137557130673
