Team,Win-Loss Record,Win %,MOV,ATS +/-
Norfolk St,246-181-0,57.6%,1.7,+0.7
Hawaii,271-200-0,57.5%,2.5,0.0
Iowa,294-217-0,57.5%,4.6,+0.1
TX Christian,253-187-0,57.5%,4.3,-0.2
Yale,234-173-0,57.5%,2.8,+0.9
Wake Forest,265-196-0,57.5%,3.2,-0.4
California,260-193-0,57.4%,2.4,-0.2
S Methodist,266-198-0,57.3%,4.5,-0.4
S Mississippi,249-186-0,57.2%,2.7,0.0
Abl Christian,107-80-0,57.2%,5.3,+1.3
Liberty,250-187-0,57.2%,3.8,-0.3
Colorado,280-211-0,57.0%,3.2,-0.5
Boston Col,245-185-0,57.0%,2.1,+0.3
Utah Valley,193-147-0,56.8%,2.7,+0.6
TX-Arlington,245-187-0,56.7%,3.1,+0.1
Geo Mason,276-211-0,56.7%,2.5,+0.1
Geo Wshgtn,248-190-0,56.6%,2.0,0.0
Chattanooga,266-204-0,56.6%,2.1,-0.7
Hampton,241-185-0,56.6%,1.5,+0.6
Buffalo,244-188-0,56.5%,2.6,+0.8
Cal Baptist,57-44-0,56.4%,5.7,-1.1
Fla Gulf Cst,158-122-0,56.4%,2.2,+0.1
NC State,293-227-0,56.4%,3.9,-0.1
Loyola-Chi,248-193-0,56.2%,2.5,0.0
Southern,209-164-0,56.0%,3.1,+1.4
St Josephs,256-201-0,56.0%,2.7,+0.6
Saint Louis,270-215-0,55.7%,2.3,+0.4
Vanderbilt,265-211-0,55.7%,3.3,+0.3
Arizona St,250-200-0,55.6%,2.9,-0.5
Georgia,239-192-0,55.5%,1.3,0.0
North Texas,235-189-0,55.4%,2.1,+0.6
South Dakota,134-108-0,55.4%,1.8,-0.5
Illinois St,247-200-0,55.3%,2.0,-0.2
Lg Beach St,229-186-0,55.2%,0.8,+0.2
Morehead St,240-195-0,55.2%,1.2,+0.2
TX A&M-CC,211-172-0,55.1%,1.8,+0.6
VA Tech,249-203-0,55.1%,3.4,+0.1
NC-Grnsboro,229-187-0,55.1%,1.9,+0.6
