Team,Win-Loss Record,Win %,MOV,ATS +/-
Northeastrn,151-249-0,37.8%,-4.3,0.0
Missouri St,131-216-0,37.8%,-3.2,-0.4
Manhattan,146-242-0,37.6%,-4.2,-0.3
Louisiana,144-239-0,37.6%,-4.0,-0.4
Florida St,112-187-0,37.5%,-4.8,-0.9
Ohio,134-225-0,37.3%,-3.7,-0.9
Albany,148-249-0,37.3%,-4.4,+1.0
Geo Wshgtn,123-207-0,37.3%,-4.5,-0.6
Colgate,155-261-0,37.3%,-4.9,+1.4
TX-Arlington,150-254-0,37.1%,-4.5,+1.6
Rhode Island,130-221-0,37.0%,-3.7,+0.2
Charlotte,129-220-0,37.0%,-4.3,-0.9
San Diego,126-216-0,36.8%,-5.2,+1.6
Lipscomb,133-229-0,36.7%,-4.8,+1.2
St Bonavent,127-220-0,36.6%,-4.5,-0.3
NC-Wilmgton,142-247-0,36.5%,-5.3,-0.4
TX A&M-CC,132-230-0,36.5%,-5.4,+1.8
Norfolk St,152-267-0,36.3%,-6.2,+0.4
Tarleton St,21-37-0,36.2%,-6.1,+0.9
Holy Cross,149-263-0,36.2%,-4.5,+0.6
Monmouth,148-262-0,36.1%,-5.6,-0.4
Michigan,105-186-0,36.1%,-5.0,-0.7
WI-Milwkee,142-252-0,36.0%,-4.8,+0.5
Lehigh,149-265-0,36.0%,-4.7,+1.0
Bellarmine,23-41-0,35.9%,-6.8,+1.0
Utah Valley,106-189-0,35.9%,-4.7,+1.2
NC-Grnsboro,140-250-0,35.9%,-5.7,+0.9
Navy,138-247-0,35.8%,-5.0,+1.2
Washington,109-196-0,35.7%,-4.5,-0.3
App State,138-249-0,35.7%,-5.2,+0.1
S Alabama,128-231-0,35.7%,-5.3,-0.1
Hawaii,94-170-0,35.6%,-4.5,-0.4
NC State,102-185-0,35.5%,-4.5,+0.3
U Mass,120-218-0,35.5%,-4.5,-0.2
American,152-277-0,35.4%,-4.9,+0.3
Bowling Grn,134-245-0,35.4%,-5.1,0.0
Mercer,141-258-0,35.3%,-5.3,+0.4
Radford,142-261-0,35.2%,-6.2,+0.9
Miss State,101-186-0,35.2%,-4.0,-0.1
Mass Lowell,61-113-0,35.1%,-4.8,+0.7
James Mad,129-239-0,35.1%,-4.9,+0.5
CS Fullerton,132-245-0,35.0%,-5.1,+0.9
Loyola-Chi,126-235-0,34.9%,-5.2,-0.3
Wofford,142-265-0,34.9%,-5.2,+0.9
Texas A&M,98-183-0,34.9%,-5.7,0.0
Texas St,130-245-0,34.7%,-5.6,+0.6
Colorado St,113-213-0,34.7%,-4.7,-0.3
Mississippi,106-200-0,34.6%,-4.6,-0.5
NC-Asheville,142-268-0,34.6%,-7.9,-1.6
South Dakota,72-136-0,34.6%,-6.5,-0.3
Iowa,104-197-0,34.6%,-4.0,-0.4
California,106-201-0,34.5%,-5.8,-0.5
Lafayette,144-273-0,34.5%,-6.1,+1.0
Indiana,100-191-0,34.4%,-4.2,-1.2
Arizona St,101-193-0,34.4%,-5.2,-0.5
Ball St,124-237-0,34.4%,-4.4,+0.1
Cornell,128-245-0,34.3%,-5.7,+1.0
Fla Gulf Cst,85-163-0,34.3%,-5.8,-0.7
Boston Col,100-192-0,34.3%,-5.0,+1.8
E Washingtn,144-277-0,34.2%,-5.7,+0.4
Troy,130-251-0,34.1%,-5.9,+0.3
Alabama,98-190-0,34.0%,-4.1,-1.0
Clemson,100-194-0,34.0%,-3.9,-0.5
Samford,134-261-0,33.9%,-5.8,-0.8
Austin Peay,135-263-0,33.9%,-6.2,-0.7
Central Conn,140-273-0,33.9%,-6.1,+0.6
Saint Louis,102-200-0,33.8%,-5.6,-0.7
Morehead St,138-272-0,33.7%,-6.2,+0.1
North Texas,121-239-0,33.6%,-7.3,+0.2
Lg Beach St,130-259-0,33.4%,-6.9,-0.1
LSU,96-192-0,33.3%,-5.4,-0.4
Furman,128-256-0,33.3%,-4.7,+0.2
Mercyhurst,1-2-0,33.3%,-9.7,+7.3
Cleveland St,130-262-0,33.2%,-6.3,-0.5
S Carolina,98-199-0,33.0%,-5.6,+0.2
Auburn,94-192-0,32.9%,-5.0,-0.7
Brown,123-252-0,32.8%,-6.2,+1.3
Abl Christian,50-103-0,32.7%,-7.3,-0.9
Canisius,130-269-0,32.6%,-5.4,+0.3
TX El Paso,100-208-0,32.5%,-5.1,-0.7
La Salle,109-227-0,32.4%,-6.0,-0.3
Liberty,117-244-0,32.4%,-5.9,-0.9
GA Southern,127-265-0,32.4%,-6.2,-0.6
AR Lit Rock,117-246-0,32.2%,-6.7,-0.7
St Johns,95-200-0,32.2%,-5.2,+0.5
Marshall,114-241-0,32.1%,-6.0,-1.6
St Peters,130-275-0,32.1%,-5.7,+1.3
Indiana St,113-240-0,32.0%,-5.3,-0.2
NW State,133-283-0,32.0%,-8.9,+0.3
F Dickinson,138-294-1,31.9%,-7.2,+0.6
TX Southern,149-318-0,31.9%,-8.2,+0.4
NC Central,88-188-0,31.9%,-8.3,+0.5
Illinois St,110-235-0,31.9%,-4.9,-0.4
Vanderbilt,94-201-0,31.9%,-4.8,+1.0
Gard-Webb,118-254-0,31.7%,-6.2,+1.8
Coastal Car,116-250-0,31.7%,-6.3,-0.1
Kansas St,91-197-0,31.6%,-5.6,-0.3
WI-Grn Bay,124-269-0,31.6%,-6.4,-0.3
UTSA,117-256-0,31.4%,-7.1,-1.0
E Kentucky,124-272-0,31.3%,-6.7,+0.1
Maryland BC,128-281-0,31.3%,-6.5,+1.4
Jacksonville,129-285-0,31.2%,-7.3,-0.1
Wake Forest,96-214-0,31.0%,-5.4,-0.4
Seattle,64-143-0,30.9%,-6.2,+0.2
N Colorado,92-206-0,30.9%,-6.2,+1.3
Montana St,116-260-0,30.9%,-6.4,-0.4
Towson,117-264-0,30.7%,-6.7,+0.9
UC Davis,88-199-0,30.7%,-6.4,+1.6
Portland St,118-267-0,30.7%,-6.2,+0.1
Detroit,128-290-0,30.6%,-5.6,-0.5
W Michigan,115-261-0,30.6%,-5.8,-0.4
N Arizona,120-275-0,30.4%,-7.8,-0.2
Arkansas St,117-269-0,30.3%,-5.9,-0.3
Cal St Nrdge,119-275-0,30.2%,-6.0,+0.5
S Mississippi,104-241-0,30.1%,-6.9,-1.0
Miami (OH),116-271-0,30.0%,-5.3,0.0
VA Tech,88-206-0,29.9%,-6.2,-0.8
Pepperdine,108-253-0,29.9%,-6.9,-0.3
Mt St Marys,134-314-0,29.9%,-6.8,0.0
TN Tech,122-287-0,29.8%,-7.6,-0.8
Wyoming,96-226-0,29.8%,-6.8,-1.1
IL-Chicago,114-269-0,29.8%,-6.8,-0.9
Arkansas,81-192-0,29.7%,-5.6,-1.7
IPFW,107-255-0,29.6%,-7.6,+0.4
Drake,98-234-0,29.5%,-7.0,-1.0
Missouri,83-199-0,29.4%,-6.5,-1.8
Jksnville St,115-277-0,29.3%,-5.6,+1.1
Texas Tech,87-210-0,29.3%,-7.0,-1.7
Marist,113-273-0,29.3%,-6.3,+0.5
Georgia,90-218-0,29.2%,-6.7,+0.2
Colorado,92-223-0,29.2%,-6.0,-1.6
