Team,Win-Loss Record,Win %,MOV,ATS +/-
Virginia,73-189-0,27.9%,-8.4,-1.1
Fairfield,103-267-0,27.8%,-6.7,+0.2
CS Fullerton,121-314-0,27.8%,-7.2,+0.3
Kansas St,101-262-0,27.8%,-6.3,+0.7
Hampton,52-135-0,27.8%,-8.6,+0.2
Baylor,89-231-0,27.8%,-7.1,+0.7
Cal Baptist,20-52-0,27.8%,-7.2,-0.2
Illinois,78-203-0,27.8%,-5.2,+0.6
South Dakota,58-151-0,27.8%,-7.6,+0.3
WI-Milwkee,111-289-0,27.8%,-7.5,+0.7
St Peters,109-284-0,27.7%,-7.0,+0.8
Lehigh,36-94-0,27.7%,-7.7,+0.7
AR Lit Rock,112-294-0,27.6%,-7.9,-0.5
Drexel,91-239-0,27.6%,-6.2,+0.1
W Virginia,94-247-0,27.6%,-6.6,-0.5
St Johns,114-300-0,27.5%,-7.1,+0.4
Missouri St,91-240-0,27.5%,-5.9,+0.2
UCSD,17-45-0,27.4%,-6.5,+0.8
Portland St,100-266-0,27.3%,-7.1,+0.7
Loyola-Chi,106-282-0,27.3%,-6.9,+0.3
Davidson,59-157-0,27.3%,-7.1,0.0
Ball St,105-280-0,27.3%,-6.4,+0.4
Fla Gulf Cst,33-88-0,27.3%,-7.0,+1.2
E Kentucky,87-232-0,27.3%,-8.0,+0.9
Mississippi,96-256-0,27.3%,-6.4,-0.3
N Florida,43-115-0,27.2%,-10.4,+1.5
UC Davis,77-206-0,27.2%,-7.3,+0.5
Campbell,34-91-0,27.2%,-5.5,+1.1
Canisius,109-292-0,27.2%,-6.6,+0.8
Washington,103-276-0,27.2%,-7.7,-0.5
Stony Brook,35-94-0,27.1%,-7.6,+0.9
Arkansas,83-223-0,27.1%,-6.9,-1.0
Geo Wshgtn,106-285-0,27.1%,-7.1,-0.2
NC-Wilmgton,110-296-0,27.1%,-7.9,+0.1
Oakland,55-148-0,27.1%,-8.1,+0.3
Arizona St,102-275-0,27.1%,-6.9,-0.1
Boston Col,124-336-0,27.0%,-7.1,+0.7
Old Dominion,79-215-0,26.9%,-5.9,-0.2
Louisiana,85-232-0,26.8%,-6.9,0.0
Lg Beach St,117-320-0,26.8%,-8.8,0.0
Georgetown,91-249-0,26.8%,-6.2,+0.6
Arkansas St,103-282-0,26.8%,-6.9,+0.4
Utah,84-231-0,26.7%,-7.1,-0.5
N Mex State,76-209-0,26.7%,-6.6,+0.1
Buffalo,98-270-0,26.6%,-7.8,+0.5
Lafayette,41-113-0,26.6%,-8.7,-0.1
W Michigan,111-306-0,26.6%,-7.4,+0.2
Texas St,46-127-0,26.6%,-6.5,+0.5
San Diego,114-315-0,26.6%,-7.9,+0.9
E Tenn St,51-141-0,26.6%,-6.7,+1.0
Drake,117-324-0,26.5%,-7.3,0.0
SE Louisiana,35-97-0,26.5%,-9.6,+0.2
Cornell,94-261-0,26.5%,-7.9,+1.2
Valparaiso,72-200-0,26.5%,-7.5,+0.1
Bucknell,37-103-0,26.4%,-7.4,+0.4
Auburn,94-262-0,26.4%,-7.8,-0.4
Delaware,102-285-0,26.4%,-7.8,-0.2
LSU,94-263-0,26.3%,-7.3,-0.5
UTSA,65-182-0,26.3%,-8.5,+1.0
Texas A&M,97-272-0,26.3%,-7.6,0.0
Georgia,119-334-0,26.3%,-7.0,+0.5
Montana St,96-270-0,26.2%,-7.3,+0.1
N Dakota St,43-121-0,26.2%,-7.4,+0.3
La Salle,119-335-0,26.2%,-7.7,+0.1
Oklahoma St,82-231-0,26.2%,-6.4,-0.2
St Bonavent,96-271-0,26.2%,-7.9,-0.4
WI-Grn Bay,108-305-0,26.2%,-8.2,0.0
James Mad,110-311-0,26.1%,-7.6,-0.3
NJIT,36-102-0,26.1%,-9.0,+0.2
TX A&M-Com,12-34-0,26.1%,-9.7,+0.1
Longwood,30-85-0,26.1%,-7.4,+2.3
North Texas,104-295-0,26.1%,-8.9,+0.4
N Hampshire,33-94-0,26.0%,-8.3,+0.6
Clemson,82-234-0,26.0%,-6.6,+0.4
Penn St,124-354-0,25.9%,-7.5,+0.7
Iona,61-175-0,25.9%,-5.9,+1.0
E Washingtn,92-264-0,25.8%,-8.2,+0.5
Houston,86-247-0,25.8%,-7.7,+0.6
Bradley,110-316-0,25.8%,-7.3,-0.2
Iowa St,96-276-0,25.8%,-6.9,+0.3
Minnesota,106-305-0,25.8%,-7.0,-0.2
Gard-Webb,33-95-0,25.8%,-7.3,+2.2
Holy Cross,52-150-0,25.7%,-8.9,-0.1
Wyoming,104-300-0,25.7%,-7.8,-0.2
Mercer,44-127-0,25.7%,-6.2,+0.5
Abl Christian,21-61-0,25.6%,-8.3,-0.5
Vermont,21-61-0,25.6%,-7.8,-0.1
Stetson,43-125-0,25.6%,-8.9,+0.8
North Dakota,63-184-0,25.5%,-8.4,-0.1
VA Tech,97-284-0,25.5%,-7.5,+0.2
Wofford,84-247-0,25.4%,-7.7,+0.9
F Dickinson,38-112-0,25.3%,-8.9,+0.6
Marist,110-326-0,25.2%,-7.8,+0.2
GA Southern,92-273-0,25.2%,-7.9,+0.1
UCF,67-199-0,25.2%,-7.2,-0.1
