Team,Win-Loss Record,Win %,MOV,ATS +/-
Georgia St,458-377-0,54.9%,2.5,0.0
Texas Tech,478-394-0,54.8%,2.8,-0.4
Vanderbilt,477-399-0,54.5%,2.6,+0.2
Fresno St,471-394-0,54.5%,2.3,-0.2
Yale,413-346-0,54.4%,2.2,+1.1
Wake Forest,463-393-0,54.1%,1.9,-0.1
Cal Baptist,104-89-0,53.9%,4.2,-0.3
U Penn,410-351-0,53.9%,1.6,0.0
Abl Christian,189-163-0,53.7%,3.5,+0.6
Boston U,446-385-0,53.7%,1.2,0.0
Minnesota,469-407-0,53.5%,2.0,-0.4
Oakland,447-388-0,53.5%,1.0,-0.2
St Josephs,458-400-0,53.4%,1.6,+0.3
S Alabama,444-388-0,53.4%,1.3,0.0
Siena,453-398-0,53.2%,0.6,+0.2
St Johns,457-403-0,53.1%,1.3,-0.1
VA Tech,453-401-0,53.0%,2.4,+0.1
San Francisco,448-397-0,53.0%,1.7,+0.1
S Carolina,457-405-0,53.0%,1.4,-0.4
Geo Wshgtn,440-390-0,53.0%,1.0,-0.2
Arizona St,452-402-0,52.9%,1.9,-0.4
Wofford,444-396-0,52.9%,2.4,+0.4
Rider,439-393-0,52.8%,0.3,-0.1
TX-Arlington,435-390-0,52.7%,1.7,+0.8
California,457-410-0,52.7%,0.9,-0.5
Wyoming,447-402-0,52.7%,1.0,-0.3
E Washingtn,439-396-0,52.6%,1.2,+0.7
NC-Wilmgton,441-399-0,52.5%,0.6,+0.2
Pacific,438-397-0,52.5%,0.9,-0.4
Charlotte,438-398-0,52.4%,0.8,-0.4
Wagner,418-380-1,52.4%,0.4,-0.7
Santa Clara,442-403-0,52.3%,0.4,-0.3
Loyola-Chi,443-404-0,52.3%,1.2,0.0
Illinois St,448-410-0,52.2%,1.1,-0.2
St Bonavent,427-393-0,52.1%,0.5,-0.1
Austin Peay,441-406-0,52.1%,0.7,-0.1
TX A&M-CC,394-365-0,51.9%,1.3,+0.6
NC Central,275-255-0,51.9%,2.3,+1.4
Marshall,436-405-0,51.8%,1.4,-0.6
Morehead St,437-408-0,51.7%,1.1,+0.2
U Mass,431-404-0,51.6%,0.4,-0.3
NC-Asheville,430-403-0,51.6%,0.0,-0.3
S Mississippi,437-410-0,51.6%,1.0,-0.3
Buffalo,433-407-0,51.6%,0.9,+0.4
St. Thomas,50-47-0,51.6%,4.1,+1.6
South Dakota,244-230-0,51.5%,1.3,+0.1
Lipscomb,370-349-0,51.5%,1.2,+0.4
Fla Gulf Cst,283-267-0,51.5%,0.9,+0.1
App State,433-409-0,51.4%,1.8,+0.1
Rhode Island,439-416-0,51.4%,0.6,-0.5
Norfolk St,431-410-0,51.3%,-0.2,+1.0
Drexel,419-399-0,51.2%,1.0,-0.1
North Texas,428-408-0,51.2%,0.4,+0.1
Liberty,439-419-0,51.2%,1.7,-0.6
Radford,425-409-0,51.0%,0.0,-0.4
Furman,427-411-0,51.0%,2.1,+0.2
TX Christian,443-427-0,50.9%,1.5,-0.3
Hampton,428-415-0,50.8%,0.2,+0.3
Georgia,436-424-0,50.7%,0.2,+0.1
Bowling Grn,424-413-0,50.7%,0.3,-0.5
GA Tech,437-427-0,50.6%,1.5,0.0
WI-Grn Bay,429-420-0,50.5%,0.2,+0.1
Rob Morris,429-420-0,50.5%,0.0,-0.2
Seattle,244-241-0,50.3%,1.0,+0.6
Indiana St,425-421-0,50.2%,0.0,+0.2
Boston Col,431-429-0,50.1%,0.0,0.0
Coastal Car,417-416-0,50.1%,1.8,0.0
AR Lit Rock,411-410-0,50.1%,0.1,-0.2
Montana St,407-407-0,50.0%,0.4,-0.5
Stony Brook,388-389-0,49.9%,0.1,0.0
Ball St,412-413-0,49.9%,1.1,-0.4
Drake,424-425-0,49.9%,0.7,+0.1
Delaware,417-419-0,49.9%,-0.7,-0.7
Samford,414-417-0,49.8%,0.5,-0.5
WI-Milwkee,419-422-0,49.8%,0.1,0.0
Bradley,433-438-0,49.7%,0.5,+0.3
Arkansas St,410-417-0,49.6%,1.2,0.0
NC-Grnsboro,417-424-0,49.6%,0.0,+0.3
Portland St,401-408-0,49.6%,1.1,0.0
GA Southern,410-418-0,49.5%,0.8,-0.2
E Kentucky,409-418-0,49.5%,0.7,-0.3
Lg Beach St,416-426-0,49.4%,-0.9,0.0
