Team,Win-Loss Record,Win %,MOV,ATS +/-
Vanderbilt,188-184-0,50.5%,0.9,+0.3
App State,194-190-0,50.5%,1.5,+0.7
Arkansas St,197-193-0,50.5%,1.6,+0.2
Mass Lowell,82-81-0,50.3%,0.4,+1.2
Kansas St,174-172-0,50.3%,1.3,+0.1
Seton Hall,174-172-0,50.3%,0.8,-0.4
Bucknell,171-171-0,50.0%,0.1,+0.3
Drexel,186-186-0,50.0%,0.4,0.0
Georgia St,175-175-0,50.0%,1.0,+0.2
Missouri,179-179-0,50.0%,0.3,-0.7
Seattle,108-108-0,50.0%,2.0,+1.6
Wyoming,188-188-0,50.0%,-0.7,0.0
Clemson,174-175-0,49.9%,1.0,-0.3
Austin Peay,190-192-0,49.7%,0.2,-0.3
Auburn,172-174-0,49.7%,0.3,+0.9
Oakland,179-184-0,49.3%,-0.5,-0.6
Niagara,195-201-0,49.2%,-1.2,+0.1
Furman,189-195-0,49.2%,0.8,+0.4
Pacific,182-188-0,49.2%,-0.5,-0.7
St Bonavent,180-186-0,49.2%,-1.0,-0.2
GA Tech,197-204-0,49.1%,-0.2,+0.1
AR Lit Rock,188-195-0,49.1%,-0.4,0.0
Radford,187-194-0,49.1%,0.0,+0.4
St Josephs,183-190-0,49.1%,-0.2,0.0
Marshall,186-194-0,49.0%,0.1,-0.3
Santa Clara,185-193-0,48.9%,-0.7,-0.7
TX El Paso,174-183-0,48.7%,0.7,-0.3
Iowa St,167-176-0,48.7%,0.2,+0.2
USC,176-186-0,48.6%,0.5,+0.2
Montana St,184-195-0,48.6%,0.5,-0.6
S Carolina,184-195-0,48.6%,-0.5,-0.2
GA Southern,190-202-0,48.5%,0.2,-0.7
Houston,157-167-0,48.5%,0.2,+0.8
Morehead St,185-197-0,48.4%,1.3,+0.5
Baylor,152-162-0,48.4%,0.2,+0.2
LSU,166-177-0,48.4%,-0.8,-1.2
Charlotte,181-193-0,48.4%,-0.1,-0.3
Coastal Car,188-201-0,48.3%,0.6,+0.5
Washington,172-184-0,48.3%,-0.6,0.0
Illinois St,185-198-0,48.3%,-0.2,0.0
Rob Morris,190-204-0,48.2%,-0.9,+0.2
WI-Grn Bay,189-203-0,48.2%,-0.4,+0.4
Miami (OH),198-213-0,48.2%,0.1,+0.3
Arizona St,181-195-0,48.1%,-0.1,-0.1
South Dakota,102-110-0,48.1%,1.3,+0.8
Bowling Grn,185-200-0,48.1%,-0.7,-0.8
TN Tech,196-212-0,48.0%,0.2,-0.2
Abl Christian,72-78-0,48.0%,0.3,-0.9
VA Tech,179-195-0,47.9%,-0.1,+0.1
W Michigan,193-211-0,47.8%,-0.8,-0.5
Fla Gulf Cst,117-128-0,47.8%,0.4,0.0
U Penn,156-171-0,47.7%,-0.3,+0.5
Samford,185-203-0,47.7%,-0.2,-0.8
TX-Arlington,174-191-0,47.7%,0.1,+1.7
Siena,177-196-0,47.5%,-0.8,+0.6
Colgate,184-204-0,47.4%,-0.3,+1.2
Toledo,166-185-0,47.3%,-0.7,-0.5
Portland St,181-202-0,47.3%,0.6,-0.4
IPFW,157-176-0,47.2%,0.0,-0.5
Wake Forest,173-194-0,47.1%,-0.9,0.0
Stony Brook,169-190-0,47.1%,-1.0,+1.3
Geo Wshgtn,171-193-0,47.0%,-1.0,-0.5
Colorado St,166-188-0,46.9%,0.2,-0.7
Mercer,190-216-0,46.8%,0.0,+0.1
Rhode Island,182-208-0,46.7%,-1.0,-0.5
WI-Milwkee,184-211-0,46.6%,-1.5,-0.1
Loyola-Chi,176-202-0,46.6%,-0.7,-0.1
Georgetown,163-188-0,46.4%,0.3,0.0
TX A&M-CC,162-187-0,46.4%,-0.1,+0.9
NC-Asheville,174-201-0,46.4%,-2.3,-0.3
NC-Wilmgton,173-200-0,46.4%,-1.0,-0.1
Texas Tech,170-198-0,46.2%,-1.1,-0.9
High Point,178-208-0,46.1%,0.0,-0.5
Albany,173-203-0,46.0%,-0.8,+1.2
Texas A&M,161-190-0,45.9%,-1.9,-1.0
Gard-Webb,161-190-0,45.9%,-0.9,-0.8
Bradley,189-223-0,45.9%,-0.7,+0.1
California,177-209-0,45.9%,-1.4,-0.9
Ball St,177-209-0,45.9%,-0.5,-0.7
Buffalo,174-206-0,45.8%,-1.3,+0.1
Bellarmine,27-32-0,45.8%,0.3,+0.4
Lehigh,174-207-0,45.7%,-0.8,-0.3
Fairfield,187-223-0,45.6%,-1.3,-0.5
UCSD,25-30-0,45.5%,0.2,+0.4
Northeastrn,180-216-0,45.5%,-1.3,-1.2
Delaware,178-214-0,45.4%,-1.6,+0.2
San Diego,184-222-0,45.3%,-1.5,+0.2
Drake,180-218-0,45.2%,-1.3,-0.2
Troy,180-219-0,45.1%,-1.2,-0.2
Norfolk St,174-212-0,45.1%,-2.0,+1.4
Quinnipiac,169-206-0,45.1%,-1.4,-0.7
Hampton,175-214-0,45.0%,-1.3,+0.3
Indiana St,177-217-0,44.9%,-1.8,-0.5
Texas St,175-216-0,44.8%,-0.1,-0.5
Manhattan,179-223-0,44.5%,-1.6,-0.4
Georgia,178-222-0,44.5%,-1.7,+0.2
E Kentucky,174-217-0,44.5%,-1.0,-0.5
St Johns,168-210-0,44.4%,-1.5,-0.2
CS Fullerton,180-226-0,44.3%,-1.1,+0.4
North Texas,170-214-0,44.3%,-2.6,-0.5
UTSA,185-233-0,44.3%,-1.8,+0.8
Cleveland St,182-232-0,44.0%,-1.9,-0.6
Lg Beach St,175-224-0,43.9%,-2.7,-0.1
NC-Grnsboro,174-223-0,43.8%,-2.0,-0.1
Liberty,172-221-0,43.8%,-1.1,-1.0
New Orleans,171-220-0,43.7%,-1.3,-0.6
Jacksonville,178-230-0,43.6%,-1.3,+0.7
W Carolina,195-254-0,43.4%,-1.0,-0.1
UC Davis,139-182-0,43.3%,-2.1,+0.3
American,171-225-0,43.2%,-2.4,-1.0
N Colorado,131-173-0,43.1%,-0.9,+0.1
NC Central,102-135-0,43.0%,0.0,+2.6
La Salle,184-244-0,43.0%,-2.3,-0.7
James Mad,177-235-0,43.0%,-1.8,-0.8
Detroit,179-239-0,42.8%,-1.6,-0.4
Brown,171-229-0,42.8%,-2.7,-0.5
Minnesota,163-219-0,42.7%,-1.7,-0.7
E Michigan,191-258-0,42.5%,-2.0,+0.2
N Arizona,178-241-0,42.5%,-2.1,-0.7
Nebraska,172-233-0,42.5%,-1.5,+0.3
S Mississippi,163-221-0,42.5%,-2.1,-0.8
Penn St,179-244-0,42.3%,-2.3,+0.3
Holy Cross,176-240-0,42.3%,-2.2,+0.1
SE Louisiana,177-243-0,42.1%,-2.3,+0.6
North Dakota,106-146-0,42.1%,-1.9,-1.2
McNeese St,177-244-0,42.0%,-1.0,-0.9
Canisius,183-255-0,41.8%,-2.4,-0.8
Navy,166-232-0,41.7%,-2.2,+0.5
Northwestern,172-241-0,41.7%,-2.5,+0.1
Neb Omaha,89-125-0,41.6%,-3.3,-0.9
Wm & Mary,177-250-0,41.5%,-1.9,-0.3
Monmouth,174-246-0,41.4%,-4.4,-0.7
TX Christian,166-236-0,41.3%,-2.4,-0.4
