Team,Win-Loss Record,Win %,MOV,ATS +/-
TX El Paso,271-241-0,52.9%,1.4,0.0
Texas Tech,236-210-0,52.9%,1.4,-0.8
Boise St,240-214-0,52.9%,1.9,+0.4
California,291-260-0,52.8%,0.6,-0.4
Marshall,256-229-0,52.8%,0.7,-0.4
Miss State,250-224-0,52.7%,2.1,+0.4
Austin Peay,262-235-0,52.7%,0.3,+0.2
Washington,265-238-0,52.7%,0.7,-0.1
Fresno St,230-207-0,52.6%,1.5,-0.2
Hampton,244-220-0,52.6%,0.3,+0.3
USC,279-252-0,52.5%,1.5,+0.4
Siena,197-179-0,52.4%,0.0,-0.1
LSU,243-221-0,52.4%,1.6,-0.8
St Bonavent,215-196-0,52.3%,1.0,+0.3
Tarleton St,34-31-0,52.3%,-1.0,+1.3
Stony Brook,197-180-0,52.3%,-0.5,+0.8
NC-Wilmgton,252-232-0,52.1%,-0.2,+0.2
Colorado,233-215-0,52.0%,0.9,-0.5
Missouri,237-219-0,52.0%,1.0,-0.9
S Carolina,229-212-0,51.9%,0.6,-0.1
Geo Wshgtn,197-183-0,51.8%,0.6,+0.1
Wagner,249-232-0,51.8%,0.3,-1.1
VA Tech,177-166-0,51.6%,1.7,0.0
Pacific,266-250-0,51.6%,0.4,+0.2
Auburn,245-232-0,51.4%,0.9,-0.3
Arizona St,265-251-0,51.4%,1.1,0.0
Vanderbilt,248-235-0,51.4%,1.7,+0.3
Texas A&M,230-218-0,51.3%,1.1,+0.1
Buffalo,226-215-0,51.3%,-0.1,+0.2
TX A&M-CC,187-179-0,51.1%,0.3,+1.2
NC-Asheville,212-203-0,51.1%,-1.1,-0.3
American,231-222-0,51.0%,0.3,+0.3
S Methodist,203-196-0,50.9%,1.5,-0.4
Wofford,232-224-0,50.9%,0.4,+0.6
Rhode Island,209-204-0,50.6%,0.4,-0.5
St Josephs,208-204-0,50.5%,0.6,-0.1
AR Lit Rock,220-216-0,50.5%,-0.4,+0.6
Montana St,233-229-0,50.4%,-0.8,-0.3
Drexel,244-240-0,50.4%,0.8,0.0
Fla Gulf Cst,154-152-0,50.3%,0.5,-0.3
TX-Arlington,230-228-0,50.2%,0.0,-0.1
Lipscomb,191-190-0,50.1%,-0.3,-0.4
St Johns,179-179-0,50.0%,0.7,+0.3
Seattle,110-110-0,50.0%,0.2,+1.1
Mercyhurst,1-1-0,50.0%,-6.0,+7.3
Lg Beach St,240-241-0,49.9%,-1.2,0.0
Chattanooga,235-236-0,49.9%,-0.9,-0.8
Wake Forest,164-165-0,49.9%,1.2,-0.3
S Alabama,222-224-0,49.8%,-0.6,+0.2
NC-Grnsboro,218-220-0,49.8%,-0.2,+0.4
Nebraska,189-192-0,49.6%,0.3,-0.1
Bradley,244-249-0,49.5%,-0.2,+0.6
Colgate,221-226-0,49.4%,0.0,+2.1
WI-Grn Bay,228-234-0,49.4%,-0.6,+0.5
Jackson St,227-233-0,49.4%,-1.3,+0.4
Drake,220-226-0,49.3%,-0.6,+0.1
Niagara,207-213-0,49.3%,-0.8,-0.1
